subject,in_6:6,in_7:5,in_9:3,in_12:0,out_6:6,out_7:5,out_9:3,out_12:0,,inF,inUF,outF,outUF
901,0.111111111111111,0.111111111111111,1,2.44444444444444,0,0.444444444444444,1.33333333333333,4.77777777777778,,0.111111111,1.722222222,0.222222222,3.055555556
902,1.66666666666667,2.22222222222222,3.44444444444444,3.77777777777778,0.777777777777778,1.11111111111111,1.66666666666667,3.33333333333333,,1.944444444,3.611111111,0.944444444,2.5
903,0,0,1.77777777777778,3.88888888888889,0,0,2,5.44444444444444,,0,2.833333333,0,3.722222222
904,0,0,2,5.88888888888889,0,0.111111111111111,2,6,,0,3.944444444,0.055555556,4
905,0,0,2,4.11111111111111,0,1.77777777777778,4,6,,0,3.055555556,0.888888889,5
906,0,2,4,6,0,2,4,6,,1,5,1,5
907,0,1.88888888888889,4,6,0,1.77777777777778,4,6,,0.944444444,5,0.888888889,5
908,0,0.111111111111111,1.88888888888889,3.77777777777778,3.44444444444444,3.88888888888889,5,6,,0.055555556,2.833333333,3.666666667,5.5
909,0,0.111111111111111,1.11111111111111,3,0,0.333333333333333,3.44444444444444,6,,0.055555556,2.055555556,0.166666667,4.722222222
910,0,0,1.22222222222222,3.44444444444444,0,0,1.66666666666667,5.33333333333333,,0,2.333333333,0,3.5
912,0,0,0.111111111111111,0.333333333333333,0,0,1.88888888888889,3.44444444444444,,0,0.222222222,0,2.666666667
913,0,0,4,6,0,0,4,6,,0,5,0,5
914,0,0,0.222222222222222,0.666666666666667,0,0,2,4,,0,0.444444444,0,3
915,0,1.22222222222222,4.77777777777778,3.22222222222222,0,0.111111111111111,1.77777777777778,3.88888888888889,,0.611111111,4,0.055555556,2.833333333
916,0,0,0.777777777777778,0.666666666666667,0,0,0.333333333333333,1.55555555555556,,0,0.722222222,0,0.944444444
917,0,0.222222222222222,1.88888888888889,4.55555555555556,0,1.22222222222222,4,6,,0.111111111,3.222222222,0.611111111,5
918,0,0.111111111111111,1.77777777777778,3.66666666666667,0.666666666666667,1.66666666666667,3.33333333333333,5.88888888888889,,0.055555556,2.722222222,1.166666667,4.611111111
919,0,1.55555555555556,4,6,0,2,4,6,,0.777777778,5,1,5
920,0,0,0,0.222222222222222,0,0.333333333333333,2,4,,0,0.111111111,0.166666667,3
921,0,0,0.111111111111111,0.777777777777778,0.111111111111111,1.77777777777778,2.11111111111111,4.22222222222222,,0,0.444444444,0.944444444,3.166666667
922,0,0,0.111111111111111,1,0.111111111111111,1.55555555555556,2,4,,0,0.555555556,0.833333333,3
923,0.111111111111111,0,0.333333333333333,2,1,1.55555555555556,3.55555555555556,4.44444444444444,,0.055555556,1.166666667,1.277777778,4
924,0,0,0.111111111111111,0.444444444444444,0,2,2.11111111111111,4,,0,0.277777778,1,3.055555556
925,0,0,1.11111111111111,3.77777777777778,0,0,1.44444444444444,4.55555555555556,,0,2.444444444,0,3
926,0,1.88888888888889,3.77777777777778,6,0,1.88888888888889,3.33333333333333,6,,0.944444444,4.888888889,0.944444444,4.666666667
927,0,0,2,6,0,0,2,6,,0,4,0,4
928,0,0,2,2,0,0,2,2.11111111111111,,0,2,0,2.055555556
929,0,1.44444444444444,4,6,0,1.33333333333333,4,5.77777777777778,,0.722222222,5,0.666666667,4.888888889
930,0,0,1.22222222222222,1.88888888888889,0,0,1.88888888888889,2,,0,1.555555556,0,1.944444444
931,0,0,0,0.444444444444444,0,2,3.55555555555556,6,,0,0.222222222,1,4.777777778
932,0,0,0,0.111111111111111,0,0,0,2,,0,0.055555556,0,1
933,0,1.22222222222222,2.55555555555556,5.55555555555556,1,2.77777777777778,3.66666666666667,5.77777777777778,,0.611111111,4.055555556,1.888888889,4.722222222
934,0,2.11111111111111,4,6,0,2.11111111111111,6,6,,1.055555556,5,1.055555556,6
935,0,0,0.333333333333333,1.33333333333333,0,1.66666666666667,2,4,,0,0.833333333,0.833333333,3
936,0,0,0.888888888888889,1.88888888888889,0,0,1.33333333333333,2.66666666666667,,0,1.388888889,0,2
937,0,0.777777777777778,2.55555555555556,6,0,0.666666666666667,3.33333333333333,5.88888888888889,,0.388888889,4.277777778,0.333333333,4.611111111
938,0,0.111111111111111,3.33333333333333,6,0,0.444444444444444,3.77777777777778,6,,0.055555556,4.666666667,0.222222222,4.888888889
939,0,1.77777777777778,4.22222222222222,5.88888888888889,0,1.55555555555556,3.88888888888889,6,,0.888888889,5.055555556,0.777777778,4.944444444
9021,0,0,0.444444444444444,2,5.33333333333333,5.55555555555556,5.88888888888889,6,,0,1.222222222,5.444444444,5.944444444
9031,0,0,0,0.777777777777778,0,0,1.33333333333333,4.88888888888889,,0,0.388888889,0,3.111111111
9061,0,0,1.66666666666667,3.22222222222222,0,0.222222222222222,1.66666666666667,4.55555555555556,,0,2.444444444,0.111111111,3.111111111
9071,0,0.222222222222222,2,4.33333333333333,0,1.44444444444444,2.88888888888889,5.77777777777778,,0.111111111,3.166666667,0.722222222,4.333333333
9101,0,0,2,6,0,0,2.33333333333333,6,,0,4,0,4.166666667
9111,0,0.111111111111111,2,4,0,0,2,4.55555555555556,,0.055555556,3,0,3.277777778
9141,0.111111111111111,1.11111111111111,0.888888888888889,1.88888888888889,1,1.22222222222222,1.77777777777778,4.11111111111111,,0.611111111,1.388888889,1.111111111,2.944444444
9151,0,1.44444444444444,2.77777777777778,6,0,1.44444444444444,3.77777777777778,5.88888888888889,,0.722222222,4.388888889,0.722222222,4.833333333
9181,0,0.111111111111111,0.555555555555556,1.44444444444444,1,2.55555555555556,4.55555555555556,6,,0.055555556,1,1.777777778,5.277777778
9221,0,0.222222222222222,1.44444444444444,4.88888888888889,0.444444444444444,2.11111111111111,3.66666666666667,5.77777777777778,,0.111111111,3.166666667,1.277777778,4.722222222
9231,0.111111111111111,1.33333333333333,2.66666666666667,5.22222222222222,0.111111111111111,1.44444444444444,2.66666666666667,5.11111111111111,,0.722222222,3.944444444,0.777777778,3.888888889
9261,0.111111111111111,0.444444444444444,2.88888888888889,5.11111111111111,0.333333333333333,1.77777777777778,3.11111111111111,5.77777777777778,,0.277777778,4,1.055555556,4.444444444
9271,0,0,0,0.222222222222222,0.222222222222222,2,4.11111111111111,5.55555555555556,,0,0.111111111,1.111111111,4.833333333
9301,0,0.111111111111111,2,4.11111111111111,0,1.77777777777778,4,6,,0.055555556,3.055555556,0.888888889,5
9311,1.77777777777778,1.44444444444444,2.44444444444444,4.22222222222222,1.55555555555556,2.66666666666667,3.77777777777778,4.55555555555556,,1.611111111,3.333333333,2.111111111,4.166666667
9341,0,0.111111111111111,1.22222222222222,3,0,0.111111111111111,1.33333333333333,3.77777777777778,,0.055555556,2.111111111,0.055555556,2.555555556
9351,0,0.777777777777778,1.66666666666667,3.55555555555556,0.111111111111111,0.444444444444444,1.44444444444444,3.55555555555556,,0.388888889,2.611111111,0.277777778,2.5
9381,0,0,1.55555555555556,1,0.444444444444444,1,3,5.22222222222222,,0,1.277777778,0.722222222,4.111111111
9391,0,1.33333333333333,3.55555555555556,6,0.111111111111111,1.88888888888889,4.11111111111111,6,,0.666666667,4.777777778,1,5.055555556
